"Titel";"ISBN";"Verfasser";"PPN";"Jahr"
"Schulische Gesundheitserziehung und Gesundheitsförderung";"3933191467";"[Hrsg.] Bundeszentrale für Gesundheitliche Aufklärung. [Red.-Leitung: Heike Ettischer]";"317926934";"2000";
"Mehrheiten und Minderheiten : mit Unterschieden leben";"3896841041";"[Autorinnen: Krystyna Kudlinska-Stankulova; Ljubov Mavrodieva; Gudula Mebus]";"321486927";"2000";
"Lernen an Stationen in der Sekundarstufe I : Kopiervorlagen und Materialien. - (lond). Englisch: London : 7. - 8. Schuljahr";"3589214082";"Reiner Diehl; Ilse Petilliot-Becker";"1156804779";"2000";
"¬The¬ school of tomorrow : values and vision";"0335204678";"Roger Crombie White";"312486391";"2000";
"Jugendliche am Anfang der Berufsausbildung";"393436652X";"Sabine Gillitzer";"319999831";"2000";
"Materialien zur Umweltbildung : ein Leitfaden für die Grundschule";"3929237172";"Eike Hilbert";"1612874258";"2000";
"Impulse für die Berufsbildung : BiBB-Agenda 2000plus";"3-7639-0912-5";"Hrsg.: Bundesinstitut für Berufsbildung, Der Generalsekretär";"314702202";"2000";
"Kurs auf Genderkompetenz : Leitfaden für eine geschlechtergerechte Didaktik in der Erwachsenenbildung";"3952205400";"Esther Baur & Madeleine Marti";"332360334";"2000";
"Erwachsenenbildung im Umbruch : eine empirische Untersuchung an der Volkshochschule Darmstadt";"3826577450";"Elisabetta Mazza ... (Hrsg.)";"1612960340";"2000";
"English Grammar 5/6. - 1. Verbs and tenses";"3065117010";"Claudia Auer ; Petra Richter";"1157230946";"2000";
"Erweiterter Englischunterricht in den Jahrgangsstufen 5 und 6 : zur Vorbereitung des zweisprachigen Geschichtsunterrichts ab Jahrgangsstufe 7";"3403034054";"Staatsinstitut für Schulpädagogik und Bildungsforschung München, [Abteilung Gymnasium. Red.: Bettina Ruppin ... Mitglieder des Arbeitskreises: Gotthard Bauer ...]";"564281948";"2000";
"Erweiterter Englischunterricht in den Jahrgangsstufen 5 und 6 : zur Vorbereitung des zweisprachigen Erdkundeunterrichts ab Jahrgangsstufe 7";"3403034062";"Staatsinstitut für Schulpädagogik und Bildungsforschung München, [Abteilung Gymnasium. Red.: Bettina Ruppin ... Mitglieder des Arbeitskreises: Gotthard Bauer ...]";"564270393";"2000";
"Spontanes Malen mit Kindern und Jugendlichen in der Sozialarbeit";"3-86137-945-7";"Hedwig-Maria Tschinkel";"314707352";"2000";
"Zaubern mit Kindern : von Vor-Täuschungen bis zu großen Illusionen ; Anregungen für Zauberfreunde, Pädagogen, Übungsleiter und Eltern, die selbst Spaß am Zaubern haben und die Kunst des Täuschens an Kinder weitergeben wollen";"3891246579";"Wilhelm Kelber-Bretz";"318090694";"2000";
"Abschlussprüfung Deutsch. - Realschule.";"3-464-61109-4";"Annette Brosi";"1157581714";"2000";
"Gewaltige Erde : Vulkane, Meere, Wüsten";"3-8067-4821-7";"Text von Nick Clifford. [Fotos: Andy Crawford; Ranald Makechnie. Aus dem Engl. von Werner Horwarth. Red. Bearb. der dt.-sprachigen Ausg. von Eva Schweikart]";"507621646";"2000";
"Gesellschaftlicher Umbruch und Schulreform : Schul- und Lebensorientierungen ostdeutscher Schülerinnen und Schüler vor dem Erfahrungshintergrund der schulischen Umbruchsituation, untersucht an einer thüringischen Regelschule";"3-8300-0263-7";"Christine Adam";"1613475365";"2000";
"Anregungen für den Kunstunterricht. - 7/8. Ab Klasse 7/8";"3-89135-104-6";"Manfred Kiesel";"1157590608";"2000";
"Disgrace";"0099289520";"J. M. Coetzee";"308146425";"2000";
"Didaktisches Design hypermedialer Lernumgebungen : die adaptive Lernumgebung "incops" zur Einführung in die Kognitionspsychologie";"3828881874";"von Benedikt Klein";"319620611";"2000";
"Märchenzeit : handlungsorientiertes Arbeiten mit Märchen";"3780020327";"Nina Bartoni†ek";"320091805";"2000";
"Holunder, Dost und Gänseblümchen ... : vegetarische Rezepte mit wilden Kräutern und Früchten";"3-89566-149-X";"Heide Haßkerl";"1613877897";"2000";
"Neue Weihnachtslieder für die Grundschule : Lieder zu Winter, Advent und Weihnachten, 1. - 4. Schuljahr (mit CD und Liedbegleitung für Orff-Instrumente). - Buch.";"3486987771";"Carola Gampe";"1157997325";"2000";
"Sticken mit der Nähmaschine : ideal für Einsteiger";"3804306977";"Claudia Giesser";"842955577";"2000";
"Magersucht : ursächliche und auslösende Faktoren";"3-8288-8188-2";"von Esther Wollenschläger";"161396921X";"2000";
"Grundschulen zeigen ihr Profil : Analysen und Dokumentation zur Grundschulentwicklung in Sachsen-Anhalt";"389693158X";"Friederike Heinzel ...";"332351351";"2000";
"Heilen und Heilung im Spiegel einer heilenden Pädagogik";"3-86137-979-1";"Renate Wilkens";"320338401";"2000";
"P wie Politik : Gemeinschaftskunde; [für Realschulen in Baden-Württemberg]. - 1, [Hauptbd.]. Autoren: Heinz-Werner Brandes ..";"3506243802";"Heinz-Werner Brandes";"1158144903";"2000";
"P wie Politik : Gemeinschaftskunde; [für Realschulen in Baden-Württemberg]. - 2, [Hauptbd.]. Autoren: Heinz-Werner Brandes ..";"3506243810";"Heinz-Werner Brandes";"1158144911";"2000";
"Handbuch für den Mathematikunterricht : [1. - 4. Schuljahr]. - 3. 3. Schuljahr";"3-507-34052-6";"";"1158272537";"2000";
"Meins und deins";"3-446-19736-2";"Peter Geißler; Almud Kunert";"1614347328";"2000";
"Durstlöscher Wasser aus der Leitung oder Flasche?";"3-933705-45-2";"[Text: Mechthild Freier]. Verbraucher-Zentrale. [Hrsg.: Verbraucher-Zentrale Nordrhein-Westfalen e.V. ...]";"321097629";"2000";
"Steven Spielberg: Schindler's List : ein filmanalytisches Projekt; mit Kopiervorlagen";"3464024687";"Werner Schneider";"321263715";"2000";
