title|author|issue|DE-640|signature
Familienleben|Roggenkamp, Viola|2. Aufl.|[]|MA 17/197
Der Empathie-Faktor|Ciaramicoli, Arthur P.|Dt. Erstausg|[]|Psy E 160: 14
Frühförderung zwischen Erwartung und Realität|0|0|[]|Paed T 200: 99
Liedertreff|0|0|[]|LS 52070 J95 -1
Fit für morgen|Schwarzenbach, Elisabeth A.|1. Aufl.|[]|Psy G 300: 150
Étude sur le roman naturaliste|Benet, Robert|0|[]|IG 4580 B465
Invitation to History|0|3. Druck|[]|HD 245 W394 F9 -1
Langenscheidt Handwörterbuch Spanisch|Haensch, Günther|Neubearbeitung 2010, 1. Auflage, [Nachdruck] 2019|[]|IM 6865 L275
Förderung und Überprüfung der mündlichen Kommunikationsfähigkeit|Schnitter, Tobias|1. Aufl.|[]|HD 203 S775
Üben im Leseunterricht der Grundschule|Wedel-Wolff, Annegret von|1. Aufl., [Nachdr.]|[]|GB 2966 W391
A fine balance|Mistry, Rohinton|0|[]|HQ 5999 M678
Erinnerungen, Träume, Gedanken|Jung, C. G.|Sonderausg., 12. Aufl.|[]|Psy N 140: 32
Interactions verbales, didactiques et apprentissages|Guernier, Marie-Cécile|0|[]|ID 1555 G933
PZ-Information|Christmann, Matthias|0|[]|Math N 460: 31
Warum bin ich nicht weg und dafür jemand anders da?|Terneß, Michael|0|[]|Psy L 600: 278
Englisch-deutsche Studienausgabe der Dramen Shakespeares|Shakespeare, William|0|[]|HI 3280 O87
Erweiterte Vorsorgeuntersuchung|Melchers, Peter|0|[]|Psy T 800: 15
Theorizing historical consciousness|Seixas, Peter|Reprinted in paperback|[]|NB 5110 S462
Mit Erfolg zum Zertifikat Deutsch für Jugendliche|0|1. Aufl.|[]|GB 3044 D328 L1
Der Scheren-Führerschein|Roessler, Johanna|1. Aufl.|[]|LH 61290 R718
Die Bedeutung des Instruktionsdesigns für die Entwicklung und Gestaltung computerbasierter Lehr- und Lernsysteme|Lehner-Wieternik, Angelika|0|[]|Diss 2734
Doktor Deter|Tellegen, Toon|1. Aufl.|[]|GU 68546 T273
Differenzielle Heilpädagogik|Dohrenbusch, Hannes|0|[]|Paed T 350: 88
Apprendre les langues|Comblain, Annick|0|[]|ES 750 C731
Das große Ravensburger Strickbuch|Buss, Katharina|2. Aufl|[]|ZS 6200 B981 (2)
Handbook of research design in mathematics and science education|Kelly, Anthony E.|0|[]|Math N 200: 36
Bildungsbürger, nationaler Mythos und Untertan|Foerster, Manfred J.|0|[]|MS 1390 F654
Erlebnis Naturwissenschaft|Freundner-Huneke, Imme|Dr. A|[]|Bio G 100: 89 ,3 b
Computer keystroke logging and writing|Sullivan, Kirk P. H.|1. ed.|[]|AP 15942 S949
Ni putes ni soumises|Amara, Fadela|0|[]|MS 3200 A485
English G 21 - Out and about|0|1. Aufl.|[]|HD 220 II O94 -1
Teaching phonics in context|Hornsby, David|0|[]|HD 198 H816
Mrs Armitage|Blake, Quentin|0|[]|ED 5540 B636 M9
Die Bedeutung des Chancengleichheitsbegriffes für den Zusammenhang zwischen Erwachsenenbildung und sozialer Ungleichheit|Busch, Michael|0|[]|Dipl 1412
Kieler Leseaufbau|Dummer-Smoch, Lisa|Ausg. Druckschrift (Schulbuch Nord).|[]|Psy T 330: 7 K
Fabricating Europe|Nóvoa, António|0|[]|Paed E 100: 295
Journalschreiben - Wege zum schreibenden Denken|Berning, Johannes|1. Aufl.|[]|GB 2964 B528 (5)
Das Glück kommt wie ein Donnerschlag|Kuijer, Guus|0|[]|GU 66242 G567
Bildung, die an der Zeit ist|Sattler, Elisabeth|0|[]|Paed B 30: 143
Yeni Türkçe|Atay, Mete|0|[]|Büro Kalkavan-Aydin
Fidelio|0|Dr. A, 3|[]|LR 56942 B825 -2
Der Glaube der Atheisten|Hierzenberger, Gottfried|Orig.-Ausg.|[]|BG 3000 H633
Meine Freie Deutsche Jugend|Rusch, Claudia|3. Aufl.|[]|NQ 7010 R951 (3)
Evidence in education|Burns, Tracey|0|[]|Paed F 400: 37
Xa-Lando|0|[Nachdr.] A|[]|GB 2996 I L616 L -1
Le théorème de Mamadou|Begag, Azouz|0|[]|ED 5540 B416
Kritik der reinen Vernunft|Kant, Immanuel|Ungekürzte Neuausg. der Historisch Kritischen GA, Lizenzausg.|[]|Phil H 720: 36
Rechenstörungen|Ganser, Bernd|2. Aufl.|[]|Math N 280: 42
English G 21, A|0|1. Aufl., 1. Dr.|[]|HD 220 G21 S4 -1(P)
Gemeinsame Aufgabenbewältigung als Medium sozialpädagogischer Tätigkeit|Mannschatz, Eberhard|1. Aufl.|[]|Paed U 100: 182
Online-Redaktion|Schüssele, Bernd|0|[]|Dipl 1594
Difficult daughters|Kapur, Manju|paperback ed.|[]|HQ 6999 K17
La dame aux camélias|Dumas, Alexandre|0|[]|IG 5960 D157
Re-constructing elementary science|Roth, Wolff-Michael|0|[]|Nat B 600: 16
Das Rätsel der Kelten vom Glauberg|Baitinger, Holger|0|[]|NF 4220 B164
Fachdidaktische Studien|Fuchs, Karl Josef|0|[]|Math N 20: 31
Den Stift im Griff|Rix, Achim|10. Aufl.|[]|GB 2920 R626 (10)
Biographie und Behinderung|Sommer, Bernd|0|[]|Paed T 180: 139
Epilepsie - eine Krankheit als Zuflucht|Diebold, Gilbert|2., durchges. und korrigierte Aufl.|[]|Paed T 900: 27
Zur Auswirkung von Armut auf die Entwicklung von Kindern und Jugendlichen|Hinz, Silke|0|[]|Dipl 1697
Bildungspolitische Grundlagen für die Diagnose und die schulische Förderung von Kindern mit Lese- und Rechtschreibstörung|Lachmann, Thomas|0|[]|Psy G 610: 224 a
"""Bologna-Universitäten?"""|Köhler, Gerd|0|[]|Paed P 440: 26
Fugitive denim|Snyder, Rachel Louise|0|[]|QR 526 S675
Wortstark|0|0|[]|GB 2996 II B825 A -2
Der Glaube der alten Griechen und Römer|Hierzenberger, Gottfried|Orig.-Ausg.|[]|BE 7250 H633
Englisch betrifft uns|0|0|[]|Fre O 550: 4
Wasserhahn und Wasserhenne|Bydlinski, Georg|0|[]|ED 5340 B993
Internationale Politik im Zeichen der Globalisierung|Brügel, Peter|1. Aufl.|[]|MB 2552 B889
Pluspunkt Mathematik|0|1. Aufl., [Nachdr.]|[]|Math O 300: 119 G,4 a
Toolkits, translation devices and conceptual accounts|Singh, Parlo|0|[]|Paed A 680: 41
Tête haute|Hintermann-Afféjee, Mémona|0|[]|LB 48185 H666
Das -Projekt|Schroeder, Peter W.|1. Aufl.|[]|ED 5430 S381 P9
Adolescents and digital literacies|Kajder, Sara B.|0|[]|HD 183 K13
Grammatiktraining Deutsch|Werner, Grażyna|0|[]|GB 3046 W493
Die Maus hat rote Strümpfe an|Janosch|[Nachdr.]|[]|ED 5540 J34
Dem Geheimnis von Weihnachten auf der Spur|Walter, Ulrich|1. Aufl.|[]|BU 4700 W234
Das Hirschgraben-Sprachbuch|0|1. Aufl.|[]|MB 19/52
Komm - wir bauen einen Turm|Schäfer, Ruth|0|[]|Paed T 850: 28
Durchblick|0|1. Aufl.|[]|0
Wortstark|0|0|[]|GB 2996 II B825 A1 -4
Die ganze Welt von A bis Zelt|Yerokhina, Kateryna|0|[]|ED 5540 Y47
Englisch als Brückensprache zu DaZ und DaF|Kühn, Anette|0|[]|Dipl 1632
Objective proficiency|0|1. publ.|[]|0
Betriebswirtschaftslehre für die Aus- und Weiterbildung in Schule und Beruf|Golas, Heinz G.|8. Aufl.|[]|QB 333 III G617 (8)
Kognitionsforschung 2007|Frings, Christian|0|[]|Psy B 400: 81
Badminton-Spielregeln 2006/2007|0|0|[]|Spo C 300: 53 a
10|Radunsky, Vladimir|0|[]|ED 5540 R132
Möglichkeiten und Grenzen von selbstgesteuertem Lernen am Beispiel eines Seminars in der Erwachsenenbildung|Stubanus, Katja|0|[]|Dipl 1589
Kunst der Farbe|Itten, Johannes|gekürzte Studienausg., [28. Aufl.]|[]|LH 61346 I91 (28)
Lesen und Schreiben|0|1. Aufl., [Nachdr.].|[]|GB 2984 L861 -1
News & numbers|Cohn, Victor|2. ed.|[]|AP 13900 C678 (2)
Kursbuch Geschichte|0|1. Aufl.|[]|MB 20/9
Ressourcenorientierte Kompetenzentwicklung als Antwort auf den Mangel an qualifizierten Nachswuchskräften|Merdian, Irene|0|[]|Dipl 1907
A gathering light|Donnelly, Jennifer|0|[]|HU 9800 D685 G2
Spielfilmanalyse|Schmolke, Philipp|1. Aufl., 1. Dr.|[]|AP 45000 S755 L
Verstehen und dessen Bedeutung in sozialpädagogischen Handlungsfeldern|Müller, Arndt|0|[]|Dipl 1693
The gift of the gab|Gutknecht, Sheila|2. Aufl.|[]|HD 240 M478 G4 (2)
Teaching and learning in the language classroom|Hedge, Tricia|3. impr.|[]|HD 150 H453
LolliPop Sache|0|1. Aufl.|[]|Paed M 150: 149 L,3/4
Systemisch beraten|Möller-Brix, Gerd|0|[]|Psy L 700: 100
Eine Geschichte der ästhetischen Erziehung|Richter, Hans-Günther|0|[]|LH 61040 R535
Wie versteckt man eine Insel?|Orr, Wendy|Dt. Erstausg. in neuer Rechtschr|[]|HQ 2999 O75
Zahlenreise|0|1. Aufl., 3. Dr.|[]|0
Englische Bewegungshits|Meussen, Annie|0|[]|HD 172 M599
S'entraîner aux QCM d'admission en 1re année d'IUFM|Barussaud, Guy|[éd. 2003]|[]|DN 7005 B295
Europas Sprachlosigkeit|Piotrowski, Siegfried|0|[]|ES 129 P662
Advancing health literacy|Zarcadoolas, Christina|0|[]|Bio F 800: 430
I-spy|0|3. impr.|[]|0
Talking English|0|1. utgave, 1. opplag|[]|HD 220 II T146 -7
Game on!|Harvey, Andy|1. publ.|[]|HD 192 H341
Islam - etwas Fremdes?|Roling, Simone|3. Aufl.|[]|BU 2510 I82 (3)
Vorspeisen & Fingerfood|Lebert, Andreas|1. Aufl.|[]|ZE 77000 U31 V9
Personalentwicklung im System Schule|Börger, Margret|0|[]|Paed L 900: 117
Schnittpunkt|0|1. Aufl., [Nachdr.]|[]|Math O 300: 114 L,3 c
Adipositas im Kindes- und Schulalter|Huang, Tsui-Yü|0|[]|Dipl 1575
"Aufstieg und Krise der ""Generation Schröder"""|Thörmer, Heinz|0|[]|MG 15360 T449
The Hunger Games|0|0|[]|Fre O 580: 309
Lebenswege in Ost und West|Kupfer, Jürgen|0|[]|NQ 7300 K96
My life as a book|Tashjian, Janet|1. ed.|[]|HU 9800 T197
Sachtexte knacken 3/4|0|0|[]|GB 2986 G595 -2
Mobilität 21|0|0|[]|RB 10765 F158
Supermouse|0|1. Aufl.|[]|HD 220 I S959 A -3
Blickpunkt|0|[Nachdr.].|[]|0
Le vin bourru|Carrière, Jean-Claude|0|[]|ID 1175 C318
Negotiation of identities in multilingual contexts|Pavlenko, Aneta|0|[]|ER 930 P338
Dekonstruktion und Geschlecht|Pitsch, Sabine|0|[]|Dipl 1513
Die Fische von Berlin|Hummel, Eleonora|[Nachdr.]|[]|GN 9999 H925
Passion der Differenz|Schmuckli, Lisa|0|[]|MS 2900 S356
Interkulturelle Öffnung|Khan, Elisabeth|0|[]|Paed W 250: 249
Etudes françaises - Ensemble|Bayer, Peter|1. Aufl., [Nachdr.].|[]|ID 1572 F959 Z1 -2
Blueprint|Kerner, Charlotte|[Nachdr.]|[]|GE 6918 K39 B6
Erziehung in der Produktion|Strohschneider, Tom|1. Aufl.|[]|Paed E 500: 73
Langenscheidts Verb-Tabellen Deutsch|Wendt, Heinz F.|völlige Neubearb., 2. Aufl.|[]|GB 3046 W473 (2)
Tamburin|0|2. Aufl., 1. Dr.|[]|MA 19/69
Höhere Mathematik|Meyberg, Kurt|6., korrigierte Aufl., 1., korr. Nachdr.|[]|Math N 10: 63,1
Manuel de survie à l'usage de l'enseignant|Muller, François|3e éd., revue et augmentée|[]|DN 2005 M958 (3)
Bumblebee|0|0|[]|Fre O 110: 43 TB,4
Atome, Wellen, Quanten|Thalmaier, Andreas|0|[]|Phy C 500: 97
Mit Gottes Segen durch das Jahr|Kümmerle, Claudia|0|[]|BU 4800 K95
Wochenplan Mathematik|0|1. Aufl.|[]|Math O 200: 85 U,4/1 a
"Heute von ""Sünde"" sprechen, nicht sprechen?"|Heyen, Heye|0|[]|BK 2150 H615
Dogspell|Dunwoodie, Helen|0|[]|HG 831 D928
Justice and equality in education|Terzi, Lorella|0|[]|Paed T 180: 196
Bringing out the algebraic character of arithmetic|Schliemann, Analucia Dias|0|[]|Math N 400: 94
Diversität und Vielfalt im Vorschulbereich|Brockmann, Steffen|0|[]|Paed W 530: 35
Spring über den Horizont|Long, Aljoscha|0|[]|Phil A 60: 14
Entwicklungspädagogik im Klassenunterricht|Bergsson, Marita|0|[]|Paed A 450: 61
Ermel|Chapon, Anne-Marie|0|[]|0
EuroMaths|0|0|[]|0
Eltern an die Macht!|Unverzagt, Gerlinde|0|[]|Paed G 180: 63 a
Interkulturelles, religiöses und soziales Lernen in Taizé|Adam, Corinna|0|[]|Dipl 1723 ,1
Reducing adolescent risk|Romer, Daniel|0|[]|Psy C 260: 50
Understanding children's books|Goodwin, Prue|1st publ.|[]|EC 8300 G657
Leading in a culture of change|Fullan, Michael|1. ed.|[]|Paed L 900: 80
Prima(r)musik|Horn, Reinhard|1. Aufl.|[]|LR 56930 H813 K
Das Recht des Kindes auf Achtung|Korczak, Janusz|2., Aufl.|[]|Paed D Kor 1: 48 c
Allgemeine Technologie - verallgemeinertes Fachwissen und konkretisiertes Orientierungswissen zur Technologie|Banse, Gerhard|0|[]|ZG 4900 B219
Fiktionalität und Geschichtsvermittlung - unvereinbar?|Georg, Janine Christina|0|[]|NB 8500 G346
Pflanzenforscher unterwegs|0|1. Aufl.|[]|Bio F 600: 137
Soundcheck|0|Dr. A, [Nachdr.] - 2003.|[]|LR 56946 A932 -2
Activités pour jouer avec les mots|0|0|[]|ID 1536 A188
Le français par les textes|0|0|[]|ID 1582 F235 L1 -1/3
Crossing stones|Frost, Helen|First edition|[]|Fre O 580: 291
Donna, ich und die Sache mit Tommi|Oldenhave, Mirjam|Dt. Erstausg.|[]|GU 69700 O44
Mosaik Menschwerdung|Rahn, Marie|0|[]|Bio G 500: 52
Unterrichtsmaterialien zum TESLA-Projekt|Schwarze, Heiner|0|[]|Phy D 500: 36 ,1
Das große Übungsbuch zur Rechtschreibung|Klotz, Thomas|0|[]|GB 2982 K66
Schloss ohne Geschichte|Wagner-Kyora, Georg|1. Aufl.|[]|NR 5345 W135
Discovery! - inventions that changed our lives|Carleton-Gertsch, Louise|1. Aufl.|[]|HD 240 C281
Let's go to the rainforest|Kenshole, Fiona|1. publ., [repr.]|[]|HG 832 K36 L6
Mathebaum|0|0|[]|0
The American dream|Freese, Peter|New ed., 1. Aufl.|[]|HD 240 F857 L (N)
Elemente der Mathematik|0|0|[]|Math O 300: 112 G,1
Vom Kolonialismus zum Imperialismus|Osiander, Wolfgang|1. Aufl.|[]|NB 9100 O82
Rastlose Kinder, ratlose Eltern|Lauth, Gerhard W.|Orig.-Ausg., 7., vollst. aktualisierte und erw. Aufl|[]|Psy K 320: 181 b
Liebe am Horizont|Anklin, Monika|1. Aufl.|[]|GB 2978 A611
Deutsch Prüfungstraining|Baier, Gabi|1. Aufl.|[]|GB 3041 B152 G5
Die nächste Generation|0|0|[]|Paed P 250: 121 ,2
Emotionen|Kluckner, Viktoria J.|0|[]|Psy K 330: 1
Qualitative interviewing|Rubin, Herbert J.|2. ed.|[]|MR 2400 R896 (2)
Chance Deutsch|Hunstiger, Agnieszka|0|[]|GB 3010 T913 -78
Motivationale Aspekte beim E-Learning|Marx, Johannes|0|[]|Paed M 700: 65
Chansondidaktik|Klenk-Lorenz, Renate|0|[]|ID 1535 K64
The making of citizens in Europe|Georgi, Viola B.|0|[]|MK 5050 G352
The hidden God|Bandy, Mary Lea|0|[]|AP 52900 B214
P wie Politik|Brandes, Heinz-Werner|0|[]|MB 2552 II P111 -1(N)
Goethe zur Einführung|Matussek, Peter|2., verb. Auflage|[]|GK 4021 M445 (2)
Sieben Wegbereiter|Reich-Ranicki, Marcel|Ungekürzte Ausg.|[]|GM 1411 R352
Géographie culturelle|Pitte, Jean-Robert|0|[]|ID 1150 P688
Kunstunterricht im ... Schuljahr|Krafft, Karin|2., überarb. Aufl|[]|LH 61220 K89 -3/4(2)
Das neue Handbuch des Journalismus|Schneider, Wolf|3. Aufl.|[]|AP 22750 S359 (3)
Darstellung der konzeptionellen Diskussion um BA-/MA-Abschlüsse in der Lehrerausbildung|Thierack, Anke|0|[]|Paed S 630: 16
The story of the Incredible Hulk|Teitelbaum, Michael|0|[]|HD 240 T265
De Gaulle à la une|Dalmaz, Gérard|0|[]|NQ 7445 D148
Lineare Gleichungen und Ungleichungen verstehen und anwenden|Heußen, Barbara|0|[]|Math N 440: 46
Erlebnis Naturwissenschaft|0|Dr. A,1|[]|Phy D 100: 99,3
Dyslexia and maths|Kay, Julie|0|[]|Math N 280: 60
Mobile - Lesebuch|0|0|[]|GB 3000 I M685 K -2(N)
Lernen an Stationen in der Sekundarstufe I|Gerstenmaier, Wiebke|1. Aufl.|[]|GB 2980 G383
Mathematik heute|0|0|[]|0
Deutschbuch|0|2. Aufl|[]|GB 2996 II S766 L -2(2)
Zur Bedeutung und Erfassung der Intensität von häuslicher Lesesozialisation für die Entstehung sozialer Disparitäten im Lesekompetenzerwerb im Grundschulalter|Tarelli, Irmela|0|[]|Diss 2806
Mathe live|0|1. Aufl., 2. Dr.|[]|0
The story of the Olympic Games|McMenamin, James|0|[]|Fre O 600: 21
Selbstwert stärken - Gesundheit fördern|0|1. Aufl.|[]|Bio F 800: 316 ,1/2 a
Leben als Konflikt|Dehli, Martin|2. Aufl.|[]|Psy A 300: 44
Deutsch Englisch Schülerleistungen international|Wagner, Wolfgang|0|[]|HD 190 W135
Allgemeine Wirtschaftslehre|0|7. Aufl.|[]|QB 333 II K95 (7)
Lärm im (Hauptschul-)Unterricht|Senge, Tina|1. Aufl.|[]|Psy G 410: 40
Mediennutzung und Weiterbildungsverhalten unter milieutheoretischer Perspektive|Krehl, Robin|0|[]|Dipl 1996
Games for actors and non-actors|Boal, Augusto|2. ed.|[]|HD 208 B662 (2)
